p1,p2,count
377,551,12
377,94,20
377,550,2
377,245,6
377,389,4
377,159,1
377,586,5
377,166,2
377,225,1
377,459,1
377,189,3
377,368,2
377,142,1
380,384,4
380,389,7
380,386,3
380,375,2
380,629,2
380,371,1
380,456,1
380,143,1
380,369,4
380,391,1
384,389,10
384,369,17
384,391,6
384,375,7
384,366,3
384,386,4
384,334,1
384,629,14
384,380,10
384,355,3
384,208,1
384,406,6
384,143,1
384,456,5
384,627,3
384,359,2
386,389,12
386,334,6
386,618,1
386,375,19
386,588,1
386,366,5
386,384,13
386,629,2
386,380,8
386,393,1
386,369,6
386,621,1
386,84,1
386,391,1
388,243,8
388,403,1
388,14,1
388,550,2
388,245,4
388,549,2
388,552,1
388,270,1
388,65,1
389,368,15
389,14,42
389,243,23
389,377,5
389,618,15
389,593,9
389,189,5
389,245,8
389,278,5
389,31,11
389,371,7
389,280,16
389,629,3
389,366,13
389,334,2
389,5,5
389,375,13
389,384,6
389,459,2
389,551,2
389,265,3
389,276,1
389,315,1
389,624,2
389,393,1
389,628,8
389,136,1
389,258,4
389,248,3
389,365,1
389,270,1
389,579,1
389,118,2
389,240,3
389,142,8
389,472,4
389,32,1
389,630,4
389,260,2
389,41,1
389,128,8
389,541,4
389,33,3
389,357,3
389,386,2
389,621,2
389,380,2
391,389,5
391,621,1
391,384,6
391,629,2
391,386,1
391,380,3
391,369,16
391,565,7
391,84,2
391,406,1
391,322,6
391,374,2
391,260,2
391,375,1
393,389,10
393,377,1
393,459,1
393,368,5
393,593,1
393,375,3
393,280,2
397,216,15
397,243,8
397,265,16
397,368,47
397,389,4
397,551,4
397,179,2
397,189,1
397,245,1
397,14,1
397,65,1
403,586,3
403,377,1
403,94,2
403,426,1
403,21,1
403,593,1
403,368,1
403,551,2
403,14,6
403,243,9
403,580,1
403,59,1
403,308,1
403,216,1
406,629,1
406,380,1
406,369,2
423,208,1
423,78,1
423,30,2
423,359,3
424,525,3
424,374,1
426,359,1
426,403,3
426,94,2
426,368,9
426,265,1
426,541,1
426,14,5
426,216,1
426,31,4
426,33,7
426,630,5
426,47,2
426,146,1
426,179,2
428,441,1
428,94,1
428,14,1
428,389,1
428,578,1
428,41,1
428,334,1
428,17,3
428,357,4
428,34,1
441,94,28
441,166,2
441,225,4
441,150,4
441,428,1
446,359,4
446,608,6
446,78,10
446,100,1
446,22,1
446,527,3
448,216,1
448,513,1
448,293,8
448,159,1
448,14,2
448,579,1
448,479,1
448,595,1
448,524,1
450,243,12
450,630,23
450,270,2
450,14,2
450,572,1
450,31,1
450,260,3
450,146,1
450,357,2
450,33,1
450,532,21
450,108,9
450,208,3
450,92,1
450,207,3
450,65,2
456,17,2
456,355,4
456,30,1
456,143,2
456,627,4
456,359,3
459,377,11
459,368,15
459,389,12
459,393,1
459,365,2
459,94,1
459,618,5
459,245,1
459,551,1
459,14,2
459,593,1
459,243,1
469,31,14
469,14,5
469,33,2
469,48,4
469,47,6
469,21,1
471,479,4
471,14,3
471,357,5
471,188,1
471,573,1
471,146,10
471,47,5
471,450,2
471,34,3
471,17,1
471,478,5
471,208,11
471,237,3
471,260,5
471,572,2
471,608,1
471,630,1
471,591,1
472,14,29
472,31,5
472,243,6
472,389,3
472,94,1
472,403,1
472,580,1
472,59,1
472,550,1
472,245,2
472,543,2
472,221,3
472,63,1
478,47,1
478,34,9
478,355,9
478,33,5
478,228,2
478,79,1
478,627,1
478,17,2
478,357,9
478,169,3
478,471,2
478,359,1
478,577,3
479,14,29
479,293,18
479,159,13
479,243,7
479,188,2
479,472,2
479,94,1
479,550,2
479,543,4
479,389,1
479,493,2
479,448,2
479,579,3
479,573,7
